CODE1,freq,n_pats
KH1BD,603,527
Z2230,602,120
QB9S1,599,395
XX9BW,598,553
TNG34,597,415
PHD77,596,560
PHD78,596,555
PJ2AE,595,501
SBA00,595,383
ZXX03,595,426
DC1AD,594,559
UKB02,594,461
JN5PN,593,312
PD3YT,593,497
EBB10,592,465
FNC10,592,580
NGJ62,591,570
JFB47,590,575
KBE12,590,506
JA2AT,589,378
4AB02,588,208
NHL68,585,535
SJC01,583,191
TND33,583,504
PA2BC,581,425
1CD01,580,116
ACC19,580,506
SJB60,580,362
BBA30,579,537
WXQ24,579,39
CS3P4,577,500
WX144,577,438
ZZF00,577,358
JAP01,576,541
AAC00,573,496
DKW00,572,461
3AX01,571,182
ND1CG,571,529
PD4AC,570,476
IDY03,568,235
NH1FA,568,374
EP1DG,567,473
NGJ60,567,528
NK1XE,566,524
HA6BA,565,504
NK5AT,565,421
UJC02,564,436
DDA00,563,458
MBC10,562,531
XMA00,562,290
CJE15,558,476
TPH05,558,393
1BC07,555,15
DHB00,554,491
LFB10,554,475
PH1AC,554,520
QAB10,554,345
LCB14,553,509
JC2AB,551,431
JN2DG,550,506
PA6AE,549,539
MBA40,547,498
NFU20,547,472
KAS10,545,522
IAZ97,544,319
FMD00,542,523
NGB10,542,479
ND1AD,541,462
WX419,541,448
ZXM00,541,495
LA2HE,540,315
1CD02,539,223
SDA04,538,383
HAE99,536,351
JAD11,536,506
GD1LA,535,506
LCA30,535,225
UKC05,535,400
DAB00,534,465
CL2S4,533,400
QCB05,533,416
DMB00,532,499
UJC01,532,428
KCD05,531,395
EFA50,530,475
JKE18,529,355
NDG76,529,400
IER01,526,128
PA7CD,525,437
PD5AD,525,410
WW409,525,105
NA2CG,524,469
QBB05,524,395
XFN00,524,335
SJB00,521,396
WQ053,521,32
KA2AT,520,309
R2120,520,336
DHD10,519,460
LAA06,519,341
NDA30,519,466
EAA10,517,473
SJC50,517,348
CG2X4,516,240
FPJ,516,123
WYA30,516,441
QBA99,515,452
TFJ02,515,131
DCD00,514,411
XZZ00,513,347
ZXC95,512,475
JKE12,511,440
NBL05,511,480
LGA20,509,497
WYA05,508,451
IBB02,507,191
NH1AE,507,380
WX600,507,456
WYA20,507,184
NFL30,505,461
PG9AC,505,325
CS1H4,504,447
NDE62,501,472
NHE15,501,464
ZYD01,501,278
KCW02,500,404
LDB20,500,461
TFP40,500,463
DKW30,499,401
FN1CD,499,491
NBJ53,498,460
NGM10,498,427
CA1TM,497,456
JL5CG,496,470
DE2BG,495,476
KH1FT,495,174
PHL76,495,387
WNF00,495,167
SHA04,494,288
XX1AD,493,52
SJX20,491,235
NK4AT,490,429
XLA00,490,319
JAD10,489,451
UDQ02,489,403
XA400,489,407
IDY04,486,19
QXA20,486,158
WX890,486,438
LAC21,485,466
PD4CC,485,339
CS5Z4,484,340
ABC30,483,447
Z5132,483,358
NBL68,482,461
TFC25,482,435
YA1BD,482,424
JF1CG,481,394
LGA10,481,474
NA1BA,481,446
NBH10,481,390
ZQZ00,481,395
NHG82,479,399
JN1CD,478,441
XX1AT,478,376
KA1FN,477,328
UDQ22,475,378
TGA30,474,299
ZXE50,474,450
MAB20,473,444
SHA01,471,341
GBB00,470,425
EB1BI,469,417
ICB02,469,373
MAC10,469,411
XCK20,469,335
SJD40,466,270
CEC10,465,413
PF1AT,465,361
GDA98,464,416
WC115,464,77
ZZH40,463,439
FNC40,461,411
SBB20,460,333
ZXC12,460,198
EDC10,459,426
IFB02,457,30
HAA10,454,416
QDA10,454,374
TEA00,453,432
WE198,453,65
XX6XT,453,82
R31,451,103
CM2X4,449,264
HA1TE,447,381
IBA03,447,198
SPC10,447,186
ZXB10,447,416
CHD65,445,353
JN1BD,445,406
PE1YT,442,370
TFP32,441,384
QCA25,440,250
SDE03,439,294
AEA50,438,84
SJX11,438,193
XX9AN,438,114
PD1AE,437,288
NHM10,436,357
UJF02,436,373
AA1AA,434,326
JN3DE,434,244
LA2JE,434,266
NHL30,433,404
XQ845,432,327
XQ858,432,321
NGK30,431,375
WX308,427,152
MAC40,426,381
NDL30,426,386
PAW37,426,402
JFB31,425,416
TCC30,425,360
WD315,425,120
KAC10,424,412
MBA05,424,376
NGT60,423,360
LCA96,422,358
ZZR10,421,393
MAC01,419,404
ND1BG,419,398
TNH32,419,380
NBB20,418,367
1XX32,417,34
TNH31,417,372
ZXX04,417,333
FN2AB,416,368
NB1AT,416,388
TCC10,416,338
PG5RT,415,171
R1410,415,257
XX9XW,414,397
IBA04,412,382
PG5DE,412,178
EBA40,411,360
JF1BD,410,350
NHL14,409,352
QBA00,408,217
UJF34,408,381
FKB10,407,394
TJD20,407,176
NBB10,406,346
JN3CG,405,296
NFJ52,405,379
QBE20,405,358
TQW30,405,177
NDL52,404,323
ZXY82,404,228
EMA00,403,329
JAP00,403,380
NHG22,403,316
JFF23,401,379
NCL99,401,357
JN5BD,400,363
WF090,400,247
DHA10,398,360
KFD30,398,380
IER05,397,41
PHM77,397,346
SPC20,397,216
EB1JA,396,362
HA3AT,395,298
TPH10,393,283
FPW96,390,292
SDA01,390,336
UJC12,389,309
ZZH31,388,331
AB5BT,387,283
PEH56,387,336
ZX109,387,305
CBA10,386,359
EBB15,386,274
JFG10,386,376
JH1CG,386,273
PJ2AT,386,362
WB402,386,145
PHL99,385,300
ICC04,384,369
QDH05,384,118
WX322,384,381
NA3DG,383,353
NDJ70,380,352
NHL99,380,338
QDB00,380,367
TCG00,379,118
PA6AD,377,347
QBE00,377,351
YA1AD,377,306
DFF59,375,330
BC1AD,373,331
JHD10,373,353
LFB20,373,311
NDM99,373,336
CA1CG,372,326
NHG20,372,307
TFN04,372,331
XJD02,372,289
JN2CM,371,331
PHD79,371,349
WB111,371,105
IEY01,370,183
CKC60,369,327
JG1JB,369,344
NHJ50,369,351
TPX22,369,335
NCL22,368,323
NDF25,368,343
NHG24,368,318
KBT00,366,234
AAL10,365,342
FPG32,363,337
NHM99,363,332
TLE20,363,153
4AA33,362,75
QCE99,362,330
FPG30,360,338
NGC30,360,316
LCA98,359,337
PA6AG,359,353
SJX21,359,178
XF405,359,333
SFA40,358,236
PD4HE,357,86
W0A10,356,156
WX212,356,330
XJC02,356,319
AA500,355,26
PD5CD,355,315
PA2CC,354,258
TFP44,354,327
XXA00,354,279
JGC01,352,320
DPA25,351,304
KC1GB,351,304
NE1DG,351,320
NAG63,350,305
SJC03,350,225
TNB11,350,223
IBZ06,349,79
TAD02,349,87
CHD15,348,262
QX3AT,348,322
JG1CG,347,287
TPH30,347,301
ZX040,346,123
EB1AD,344,292
EL3AE,344,309
IER03,344,81
QDA25,344,219
XF606,344,310
GA4AT,343,280
NFQ20,343,279
ZXC00,343,318
GDC01,342,328
DQA10,341,262
NDU10,341,322
PH2CD,341,276
JGB00,340,329
FM2CE,339,185
ZXK00,339,336
NF2AT,338,246
QDE35,338,271
LEF40,337,330
ZXC40,337,327
DMB10,336,304
JN6DR,336,220
JN2BG,335,319
PE1BT,335,279
JAK10,334,268
KA3EB,334,208
LEF53,334,316
SCA02,334,280
CKD60,333,311
KE003,332,32
NDG30,332,260
TJK01,332,322
NFJ60,331,294
ECA20,330,281
NDG20,330,288
AAF05,329,295
IDY01,328,25
NGF20,328,317
PEH57,328,294
XFP02,328,109
QBJ30,327,305
MA4AT,325,297
IDY02,323,35
JHB96,323,283
XX7JT,323,62
GD2SN,322,285
CS424,321,258
JN4KR,321,179
NHE20,321,289
TND34,321,295
CKD20,320,262
TGD04,320,178
XJC10,320,289
JN3KE,319,294
NGJ50,319,284
KFC00,318,301
LCB98,318,302
NFJ50,318,300
ZSN00,318,288
NFJ62,317,289
SPF00,317,206
WYA10,315,227
LEB30,314,254
LDA00,313,286
NBJ64,313,289
CHF05,311,177
DM1BD,311,280
PJD44,311,309
ELB30,310,303
LEG13,310,301
PD5CG,310,198
PG1XE,310,240
WQ064,310,23
