concept_id_1,concept_id_2,relationship_id,valid_start_date,valid_end_date,invalid_reason,tmp_mapping_type
369,439776,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
372,443617,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
373,4105183,Maps to,2014-10-14,2099-12-31,NA,ICD10fi
374,433758,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
375,4100101,Maps to,2016-12-01,2099-12-31,NA,ICD10fi
376,381839,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
377,432586,Maps to,1970-01-01,2099-12-31,NA,ICD10fi
379,378425,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
380,376125,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
382,432910,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
383,440409,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
385,436134,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
386,373785,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
389,434033,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
390,432620,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
392,4055484,Maps to,2014-10-10,2099-12-31,NA,ICD10fi
393,440392,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
394,378416,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
399,437541,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
402,317299,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
403,375252,Maps to,2014-10-10,2099-12-31,NA,ICD10fi
405,374954,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
406,257293,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
408,381862,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
409,4329707,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
410,4329707,Maps to,2016-12-01,2099-12-31,NA,ICD10fi
411,377861,Maps to,2014-10-10,2099-12-31,NA,ICD10fi
412,374034,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
413,4023310,Maps to,2016-12-01,2099-12-31,NA,ICD10fi
414,4146116,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
416,373499,Maps to,2016-12-01,2099-12-31,NA,ICD10fi
418,4180778,Maps to,2016-12-01,2099-12-31,NA,ICD10fi
419,380731,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
420,381575,Maps to,2014-10-10,2099-12-31,NA,ICD10fi
424,4170137,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
425,372328,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
427,372324,Maps to,2014-10-10,2099-12-31,NA,ICD10fi
428,372324,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
429,373216,Maps to,2016-12-01,2099-12-31,NA,ICD10fi
430,381585,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
431,375292,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
432,375819,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
433,4042836,Maps to,2018-11-28,2099-12-31,NA,ICD10fi
439,439035,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
440,81303,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
442,4335747,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
448,433243,Maps to,2016-12-01,2099-12-31,NA,ICD10fi
449,133228,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
450,141050,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
451,435570,Maps to,2014-10-10,2099-12-31,NA,ICD10fi
452,132344,Maps to,2014-10-10,2099-12-31,NA,ICD10fi
453,132344,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
454,432660,Maps to,2014-10-14,2099-12-31,NA,ICD10fi
455,31610,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
457,4265600,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
458,4027663,Maps to,2016-12-01,2099-12-31,NA,ICD10fi
459,4059178,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
460,4043371,Maps to,2018-11-28,2099-12-31,NA,ICD10fi
461,4289526,Maps to,2013-11-21,2099-12-31,NA,ICD10fi
462,4000609,Maps to,2014-10-10,2099-12-31,NA,ICD10fi
466,4310400,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
467,440448,Maps to,1970-01-01,2099-12-31,NA,ICD10fi
468,440448,Maps to,2013-11-21,2099-12-31,NA,ICD10fi
469,433524,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
471,4288544,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
472,4178874,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
473,4245842,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
474,4188155,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
475,201061,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
476,199860,Maps to,2014-10-10,2099-12-31,NA,ICD10fi
477,4028373,Maps to,2018-11-28,2099-12-31,NA,ICD10fi
481,201606,Maps to,2014-10-10,2099-12-31,NA,ICD10fi
482,81893,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
483,4297887,Maps to,2016-12-01,2099-12-31,NA,ICD10fi
486,4134603,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
487,193518,Maps to,2014-10-10,2099-12-31,NA,ICD10fi
488,4272162,Maps to,2014-10-10,2099-12-31,NA,ICD10fi
489,75576,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
490,196151,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
491,4055116,Maps to,2014-10-10,2099-12-31,NA,ICD10fi
492,443327,Maps to,2018-11-28,2099-12-31,NA,ICD10fi
493,4145825,Maps to,2014-10-10,2099-12-31,NA,ICD10fi
494,201618,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
495,4287929,Maps to,2018-11-28,2099-12-31,NA,ICD10fi
495,40488439,Maps to,2018-11-28,2099-12-31,NA,ICD10fi
496,196152,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
497,197324,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
501,201612,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
502,4055224,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
503,4245975,Maps to,2014-10-10,2099-12-31,NA,ICD10fi
504,200763,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
505,4267417,Maps to,2016-12-01,2099-12-31,NA,ICD10fi
506,194990,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
507,194984,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
511,4145627,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
512,192956,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
513,192353,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
514,197917,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
516,199074,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
517,192963,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
521,194993,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
522,4178810,Maps to,2018-11-28,2099-12-31,NA,ICD10fi
523,4201745,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
530,140480,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
531,4027539,Maps to,2016-12-01,2099-12-31,NA,ICD10fi
532,435613,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
533,318222,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
534,4165681,Maps to,2018-11-28,2099-12-31,NA,ICD10fi
536,443600,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
538,135338,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
539,4219865,Maps to,2016-12-01,2099-12-31,NA,ICD10fi
540,139899,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
541,137944,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
548,133834,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
549,4270887,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
550,135032,Maps to,2014-07-01,2099-12-31,NA,ICD10fi
