CodeId,CODE1,CODE2,freq_finngen,freq_finngen_per
NA,F252,F252,318,0.0018314%
NA,F2520,F2520,393,0.0022633%
NA,F259,F259,544,0.0031329%
NA,F28,F28,340,0.0019581%
NA,F29,F29,2862,0.0164823%
NA,F301,F301,9,0.0000518%
NA,F31,F31,34,0.0001958%
NA,F310,F310,300,0.0017277%
NA,F311,F311,173,0.0009963%
NA,F312,F312,335,0.0019293%
NA,F3120,F3120,121,0.0006968%
NA,F313,F313,152,0.0008754%
NA,F3130,F3130,269,0.0015492%
NA,F3131,F3131,22,0.0001267%
NA,F314,F314,232,0.0013361%
NA,F315,F315,107,0.0006162%
NA,F316,F316,516,0.0029717%
NA,F317,F317,750,0.0043193%
NA,F318,F318,52,0.0002995%
NA,F319,F319,280,0.0016125%
NA,F32,F32,206,0.0011864%
NA,F320,F320,631,0.0036339%
NA,F3200,F3200,460,0.0026492%
NA,F3201,F3201,131,0.0007544%
NA,F321,F321,4321,0.0248848%
NA,F3210,F3210,1669,0.0096118%
NA,F3211,F3211,742,0.0042732%
NA,F322,F322,5378,0.0309720%
NA,F323,F323,1143,0.0065826%
NA,F328,F328,154,0.0008869%
NA,F329,F329,2667,0.0153593%
NA,F33,F33,67,0.0003859%
NA,F330,F330,245,0.0014110%
NA,F3300,F3300,81,0.0004665%
NA,F3301,F3301,179,0.0010309%
NA,F331,F331,1010,0.0058166%
NA,F3310,F3310,482,0.0027759%
NA,F3311,F3311,184,0.0010597%
NA,F332,F332,1325,0.0076307%
NA,F333,F333,68,0.0003916%
NA,F3330,F3330,188,0.0010827%
NA,F334,F334,164,0.0009445%
NA,F339,F339,221,0.0012727%
NA,F340,F340,101,0.0005817%
NA,F341,F341,1253,0.0072161%
NA,F349,F349,100,0.0005759%
NA,F388,F388,51,0.0002937%
NA,F39,F39,133,0.0007660%
NA,F400,F400,59,0.0003398%
NA,F401,F401,471,0.0027125%
NA,F402,F402,54,0.0003110%
NA,F408,F408,30,0.0001728%
NA,F409,F409,27,0.0001555%
NA,F41,F41,49,0.0002822%
NA,F410,F410,788,0.0045381%
NA,F4100,F4100,271,0.0015607%
NA,F4109,F4109,32,0.0001843%
NA,F411,F411,293,0.0016874%
NA,F412,F412,2295,0.0132170%
NA,F413,F413,248,0.0014282%
NA,F418,F418,52,0.0002995%
NA,F419,F419,712,0.0041004%
NA,F420,F420,106,0.0006105%
NA,F421,F421,44,0.0002534%
NA,F422,F422,114,0.0006565%
NA,F4282,NA,8,0.0000461%
NA,F429,F429,39,0.0002246%
NA,F43,F43,51,0.0002937%
NA,F430,F430,136,0.0007832%
NA,F4300,F4300,88,0.0005068%
NA,F4301,F4301,33,0.0001900%
NA,F431,F431,155,0.0008926%
NA,F432,F432,1053,0.0060643%
NA,F4320,F4320,282,0.0016240%
NA,F4321,F4321,93,0.0005356%
NA,F4322,F4322,321,0.0018486%
NA,F4323,F4323,113,0.0006508%
NA,F4329,F4329,55,0.0003167%
NA,F438,F438,49,0.0002822%
NA,F439,F439,92,0.0005298%
NA,F449,F449,27,0.0001555%
NA,F450,F450,140,0.0008063%
NA,F451,F451,39,0.0002246%
NA,F453,F453,21,0.0001209%
NA,F454,F454,117,0.0006738%
NA,F458,F458,87,0.0005010%
NA,F4582,NA,14,0.0000806%
NA,F480,F480,50,0.0002880%
NA,F489,F489,161,0.0009272%
NA,F50,F50,18,0.0001037%
NA,F500,F500,392,0.0022575%
NA,F501,F501,149,0.0008581%
NA,F502,F502,679,0.0039104%
NA,F503,F503,224,0.0012900%
NA,F508,F508,44,0.0002534%
NA,F509,F509,124,0.0007141%
NA,F510,F510,90,0.0005183%
NA,F519,F519,25,0.0001440%
NA,F522,F522,9,0.0000518%
NA,F54,F54,87,0.0005010%
NA,F60,F60,9,0.0000518%
NA,F600,F600,397,0.0022863%
NA,F601,F601,228,0.0013131%
NA,F602,F602,65,0.0003743%
NA,F603,F603,1211,0.0069742%
NA,F6030,F6030,334,0.0019235%
NA,F6031,F6031,732,0.0042156%
NA,F605,F605,41,0.0002361%
NA,F606,F606,150,0.0008639%
NA,F607,F607,175,0.0010078%
NA,F608,F608,302,0.0017392%
NA,F609,F609,341,0.0019638%
NA,F61,F61,258,0.0014858%
NA,F610,F610,687,0.0039565%
NA,F700,F700,23,0.0001325%
NA,F80,F80,20,0.0001152%
NA,F800,F800,181,0.0010424%
NA,F801,F801,239,0.0013764%
NA,F802,F802,298,0.0017162%
NA,F808,F808,23,0.0001325%
NA,F809,F809,45,0.0002592%
NA,F810,F810,69,0.0003974%
NA,F811,F811,13,0.0000749%
NA,F813,F813,45,0.0002592%
NA,F819,F819,40,0.0002304%
NA,F82,F82,32,0.0001843%
NA,F83,F83,112,0.0006450%
NA,F845,F845,54,0.0003110%
NA,F849,F849,475,0.0027355%
NA,F88,F88,15,0.0000864%
NA,F89,F89,21,0.0001209%
NA,F900,F900,34,0.0001958%
NA,F919,F919,14,0.0000806%
NA,F920,F920,137,0.0007890%
