"","CODE1","n_codes","n_patients"
"462","9056A",160,134
"463","6162A",159,145
"464","5400A",158,143
"465","7214A",158,121
"466","2505B",157,84
"467","5900A",157,41
"468","2713A",156,119
"469","3320A",156,49
"470","3461A",155,126
"471","6531A",155,144
"472","9351A",155,140
"473","3017A",154,71
"474","3170B",154,50
"475","6288A",152,121
"476","6850A",152,127
"477","1742A",151,97
"478","3478X",151,86
"479","3743B",151,144
"480","4109X",151,139
"481","7287A",151,126
"482","3782B",149,128
"483","4110B",149,98
"484","7384A",149,80
"485","9964A",148,89
"486","4241A",147,74
"487","4732A",147,136
"488","7270B",147,125
"489","2873A",146,53
"490","3170A",146,67
"491","3651B",146,82
"492","4267A",146,68
"493","4939B",146,108
"494","5950A",146,135
"495","6208X",146,141
"496","3141A",145,61
"497","4240B",145,82
"498","5819X",145,37
"499","5829A",145,34
"500","7151D",145,113
"501","8130A",145,108
"502","9223A",145,140
"503","0350A",144,124
"504","4278A",143,85
"505","4564A",143,131
"506","6462A",143,109
"507","7856A",143,119
"508","4359X",141,121
"509","3781B",140,116
"510","5353A",140,96
"511","6568B",140,138
"512","7442C",140,133
"513","0084F",139,98
"514","2273A",139,51
"515","3882A",139,122
"516","2420A",137,89
"517","6654B",137,135
"518","7224A",137,89
"519","9213A",137,126
"520","6565B",135,130
"521","7152E",135,106
"522","4950A",134,61
"523","5690A",134,115
"524","6466A",133,121
"525","6601B",133,128
"526","6631A",133,128
"527","7276F",133,122
"528","7707A",133,22
"529","3138C",132,30
"530","3431A",132,33
"531","4760A",132,107
"532","5550A",132,66
"533","7275A",132,117
"534","2913A",131,88
"535","7151L",131,80
"536","9693X",131,99
"537","4331A",130,61
"538","4350A",130,106
"539","6584B",130,128
"540","8134B",130,109
"541","8448A",130,105
"542","1749X",129,86
"543","4341A",129,69
"544","6748X",129,124
"545","2859X",128,110
"546","4240A",128,66
"547","2740A",127,82
"548","4552A",127,115
"549","1748X",126,74
"550","2720X",126,95
"551","5210A",126,116
"552","5560A",126,79
"553","7143B",126,38
"554","7062A",125,118
"555","2962D",124,54
"556","3530A",124,86
"557","3860A",124,75
"558","5551A",124,59
"559","7089X",123,108
"560","7178X",123,118
"561","7270A",123,117
"562","2506B",122,54
"563","6830A",122,103
"564","7455A",122,54
"565","4310A",121,44
"566","4464A",121,14
"567","4557A",121,113
"568","8054A",121,97
"569","8734A",121,119
"570","2959D",120,54
"571","3580A",120,33
"572","5850B",120,31
"573","2016A",119,13
"574","6081A",119,115
"575","6418A",119,111
"576","6468X",119,112
"577","8421B",119,115
"578","4650A",118,111
"579","5712A",118,24
"580","6141A",118,102
"581","9240A",118,111
"582","2395A",117,101
"583","4271A",117,67
