concept_id_1,concept_id_2,relationship_id,valid_start_date,valid_end_date,invalid_reason,tmp_mapping_type,tmp_domain_id_2
3925,4209859,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3934,255302,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
3945,45763750,Maps to,2015-01-31,2099-12-31,NA,USAGI,Condition
4008,433243,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
4034,29056,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
4037,30441,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
4044,138455,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
4072,30753,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
4082,316457,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
4083,4340516,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
4202,195300,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
4205,433516,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
4209,439418,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
4230,441604,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
4234,4243357,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
4251,4288544,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
4252,4288544,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
4254,4288544,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
4267,4057543,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
4290,4166480,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
4291,81893,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
4294,81893,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
4318,192357,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
4322,197603,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
4335,42535737,Maps to,2018-01-31,2099-12-31,NA,USAGI,Condition
4336,42536739,Maps to,2018-01-31,2099-12-31,NA,USAGI,Condition
4336,4260535,Maps to,1970-01-01,2099-12-31,NA,USAGI,Condition
