concept_id_1,concept_id_2,relationship_id,valid_start_date,valid_end_date,invalid_reason,temp_mapping_type
21603434,19067412,Maps to,20141201,20991231,NA,OMOP
21601004,40163718,Maps to,20141201,20991231,NA,OMOP
21603824,19033280,Maps to,20141201,20991231,NA,OMOP
21600114,958134,Maps to,20141201,20991231,NA,OMOP
21605061,965748,Maps to,20141201,20991231,NA,OMOP
21602141,998415,Maps to,20141201,20991231,NA,OMOP
45893465,44818499,Maps to,20150302,20991231,NA,OMOP
45893524,939134,Maps to,20150302,20991231,NA,OMOP
45893456,19030387,Maps to,20150302,20991231,NA,OMOP
45893521,19056874,Maps to,20150302,20991231,NA,OMOP
21600051,46287505,Maps to,20151005,20991231,NA,OMOP
1588700,35605425,Maps to,20160502,20991231,NA,OMOP
1588681,44814600,Maps to,20160502,20991231,NA,OMOP
21604924,1730370,Maps to,20200601,20991231,NA,OMOP
21604109,19092290,Maps to,20200601,20991231,NA,OMOP
21602573,1549254,Maps to,20200601,20991231,NA,OMOP
21601359,523212,Maps to,20200601,20991231,NA,OMOP
21605209,1555120,Maps to,20200601,20991231,NA,OMOP
715901,1312007,Maps to,20200601,20991231,NA,OMOP
40251677,40239216,Maps to,20200601,20991231,NA,OMOP
715779,793843,Maps to,20200601,20991231,NA,OMOP
21604922,36878773,Maps to,20200601,20991231,NA,OMOP
21603901,35197998,Maps to,20200601,20991231,NA,OMOP
21603276,1183554,Maps to,20200601,20991231,NA,OMOP
1588644,45775116,Maps to,20200601,20991231,NA,OMOP
21602593,1549254,Maps to,20200601,20991231,NA,OMOP
21601114,1308738,Maps to,20200601,20991231,NA,OMOP
21602591,1549254,Maps to,20200601,20991231,NA,OMOP
21601804,1342001,Maps to,20200601,20991231,NA,OMOP
21605216,40170466,Maps to,20200601,20991231,NA,OMOP
21602106,975125,Maps to,20200601,20991231,NA,OMOP
21602899,40798704,Maps to,20200601,20991231,NA,OMOP
715822,1512480,Maps to,20200601,20991231,NA,OMOP
43534846,40240664,Maps to,20200601,20991231,NA,OMOP
715850,45775571,Maps to,20200601,20991231,NA,OMOP
21601713,43009042,Maps to,20200601,20991231,NA,OMOP
715935,19097824,Maps to,20200601,20991231,NA,OMOP
21604901,1760039,Maps to,20200601,20991231,NA,OMOP
21601648,1560524,Maps to,20200601,20991231,NA,OMOP
21603184,1736971,Maps to,20200601,20991231,NA,OMOP
21601251,35605972,Maps to,20200601,20991231,NA,OMOP
21601314,40163698,Maps to,20200601,20991231,NA,OMOP
21601313,40174018,Maps to,20200601,20991231,NA,OMOP
21600969,40798763,Maps to,20200601,20991231,NA,OMOP
43534772,1373225,Maps to,20200601,20991231,NA,OMOP
43534846,45775571,Maps to,20200601,20991231,NA,OMOP
21605081,943852,Maps to,20200601,20991231,NA,OMOP
21605403,40798885,Maps to,20200601,20991231,NA,OMOP
1501791,1373225,Maps to,20200601,20991231,NA,OMOP
