code,freq_finngen,freq_tays,freq_total
WD205,1144,1657,2801
GA4YT,1927,872,2799
TK820,2707,90,2797
BA1AE,1029,1767,2796
HA4AT,1405,1390,2795
TFP34,1922,871,2793
SJX10,2625,165,2790
XX1XW,1265,1519,2784
JHB00,2619,159,2778
TQW11,1357,1407,2764
CKD65,1675,1070,2745
TNX99,2701,38,2739
NA3SA,634,2105,2739
AAB10,606,2115,2721
JAL30,286,2425,2711
HA1DG,297,2411,2708
NG1CG,1744,921,2665
KE002,2541,122,2663
DNB20,2062,600,2662
IGY02,2657,2,2659
SHB00,2358,297,2655
QXA50,1070,1579,2649
LCA10,1898,738,2636
QX3HE,795,1816,2611
XX1VW,279,2315,2594
GAA10,1104,1489,2593
NBA30,2423,160,2583
YA1BD,482,2099,2581
NG2CA,208,2365,2573
LFB00,1814,757,2571
QAE99,1765,789,2554
XX9AW,2533,11,2544
UDM02,2280,261,2541
NF1BA,2220,318,2538
JKA20,1810,693,2503
KE3AT,613,1885,2498
WX321,2201,296,2497
NBG10,2465,10,2475
QAA50,1008,1464,2472
EBA15,1317,1154,2471
NDM40,2304,153,2457
WD225,1434,1023,2457
SJD10,2108,341,2449
EMB30,2292,154,2446
BAA40,1737,695,2432
WX882,2108,320,2428
NGE35,2394,26,2420
NG2AA,1988,432,2420
TLW99,2132,281,2413
PJD71,241,2156,2397
MBA03,2343,39,2382
QXA20,486,1890,2376
NB1CG,1641,731,2372
R1100,2271,99,2370
PHM76,1877,472,2349
ZX136,2315,33,2348
R5120,1850,478,2328
NA7CG,663,1660,2323
PH2DE,2277,30,2307
XGX32,294,1989,2283
PH1AE,941,1341,2282
JN4DR,83,2198,2281
SJD20,1834,442,2276
UJG02,1670,605,2275
PJ5AN,1182,1086,2268
WX730,774,1491,2265
SHA02,1885,377,2262
HAB00,1937,320,2257
DHB50,2003,241,2244
ZXE40,1528,694,2222
NA3AD,1652,565,2217
RS311,33,2178,2211
KA2AE,1689,518,2207
KGH10,1808,397,2205
TKC10,917,1284,2201
LCD01,810,1385,2195
SHA03,1659,523,2182
JL5BG,1274,894,2168
NDM10,2042,115,2157
LCH00,2115,30,2145
AA4CG,976,1169,2145
AAB00,864,1281,2145
NA7DG,617,1524,2141
NDU20,1910,227,2137
LAF01,1433,704,2137
BA3AT,1110,1022,2132
WX872,2109,20,2129
SPA00,1431,692,2123
KH1AA,1372,747,2119
KFD46,2026,76,2102
LEF13,1844,251,2095
ZZH21,1155,923,2078
SFA20,1787,288,2075
QCB10,2024,44,2068
SFA10,1715,335,2050
GBB00,470,1568,2038
HA1CG,1560,470,2030
WX725,1763,260,2023
JAF10,1578,441,2019
BAA60,1576,435,2011
KH1BD,603,1403,2006
NGF00,1923,82,2005
CBB10,1797,198,1995
PA2BD,1201,792,1993
HA6AA,679,1302,1981
TAB20,1838,142,1980
NC2AA,901,1079,1980
LEG10,1858,96,1954
FPE00,1173,780,1953
TQW20,659,1288,1947
DFF15,1932,5,1937
KBV02,1304,631,1935
ICZ03,1931,2,1933
NAG40,1564,369,1933
WX610,135,1793,1928
NH1AD,1611,316,1927
NBF25,1741,174,1915
GA1AE,1340,574,1914
NB3AA,1129,782,1911
ZZR10,421,1486,1907
NA1CG,1221,676,1897
QBE99,1545,347,1892
PA3AC,220,1671,1891
KC1GB,351,1539,1890
NFB20,954,923,1877
TCW99,1854,22,1876
ZXY49,1859,15,1874
ZYB04,1869,1,1870
PD4BC,982,881,1863
NK6AQ,121,1742,1863
CKC15,1834,12,1846
PA7CD,525,1321,1846
JN5AN,37,1794,1831
PJ3AT,747,1083,1830
NA2BG,1185,639,1824
XX1XN,24,1792,1816
NA7EA,1143,672,1815
LBE01,1259,553,1812
TPH00,1128,682,1810
JKE18,529,1280,1809
QAA05,1532,273,1805
XCD20,1790,7,1797
XZZ00,513,1284,1797
CKD40,837,955,1792
WX234,1558,232,1790
EP1CG,713,1071,1784
WXQ10,287,1496,1783
DE2CG,893,888,1781
QDG20,982,795,1777
JCA55,1089,685,1774
PJD54,302,1468,1770
CKD10,998,769,1767
LAA10,1616,150,1766
MBA00,1727,29,1756
JC2AB,551,1201,1752
NDM20,1637,113,1750
AA1AA,434,1310,1744
TAB24,46,1697,1743
GD1BA,651,1091,1742
JFB00,813,926,1739
HAE20,632,1104,1736
NA1BA,481,1246,1727
CHD05,1214,505,1719
LEB00,1171,544,1715
ABC26,1556,158,1714
NHG77,1538,176,1714
CKD70,793,913,1706
HAB99,1533,171,1704
XX1ZW,129,1564,1693
GD1CT,774,913,1687
ED1AA,243,1441,1684
MAA00,1600,83,1683
NE1AD,936,733,1669
TLW00,1432,232,1664
JA3AT,1392,265,1657
FNC20,1164,487,1651
ZZQ00,233,1414,1647
HAE10,650,988,1638
TKD00,1500,132,1632
JAP00,403,1222,1625
NFB40,1593,12,1605
JAD30,1106,498,1604
NHQ40,1123,478,1601
JN2CG,1187,409,1596
TGD00,181,1413,1594
NBT60,1567,26,1593
JBC01,1468,102,1570
AA3AI,178,1390,1568
KA1MN,799,765,1564
SFA30,1196,364,1560
FN1CC,1192,368,1560
WX419,541,1019,1560
JN2AE,617,942,1559
WZA10,829,727,1556
JA3BT,98,1455,1553
PD4AC,570,979,1549
ZXE01,1527,21,1548
ZXX02,1509,39,1548
XW4AT,111,1432,1543
ZZA50,237,1305,1542
SDA03,1261,280,1541
JAB11,1401,136,1537
UDQ22,475,1058,1533
JDW98,1526,1,1527
NHG70,1480,30,1510
PJD41,830,678,1508
TDA90,1060,444,1504
DCA10,1259,242,1501
TND11,1489,11,1500
TFC00,1056,436,1492
IFB01,1158,333,1491
GD1CD,776,715,1491
NH1CG,1105,378,1483
AA1DM,654,828,1482
WX202,670,811,1481
UJC01,532,947,1479
TEW99,1354,123,1477
JAP01,576,888,1464
YA1AD,377,1083,1460
TFC10,1034,421,1455
6280,12,1442,1454
ZX040,346,1107,1453
NGU20,1336,116,1452
TQB05,1028,419,1447
WC305,1432,14,1446
FL1AC,954,491,1445
TNX92,1189,255,1444
CBA10,386,1056,1442
EB1MA,998,440,1438
SXC05,964,472,1436
NJ3NA,1410,24,1434
WX203,901,529,1430
UGC18,228,1199,1427
EB1SA,1339,86,1425
NB1AD,755,668,1423
JFA98,1408,6,1414
ICB01,1411,2,1413
NFB50,1409,4,1413
EJA10,1002,411,1413
LAF00,679,733,1412
ZZF00,577,833,1410
DQB10,1083,320,1403
NAG62,1265,137,1402
RS313,42,1360,1402
AA5BD,709,687,1396
JAF30,1238,157,1395
WX1CG,31,1364,1395
NFJ54,708,684,1392
PHM99,991,399,1390
JN5PN,593,797,1390
NCJ62,1186,203,1389
KA3AT,774,614,1388
NDR20,721,664,1385
NK6MA,900,482,1382
TLW12,1014,361,1375
JL5CG,496,878,1374
JC2KB,747,623,1370
JN1BD,445,924,1369
RS122,7,1359,1366
PD4DE,1275,87,1362
ZY000,1313,46,1359
KE1DG,108,1245,1353
KCV04,1326,24,1350
HAB50,856,492,1348
XX7CT,708,630,1338
NA1EA,935,401,1336
IER04,1310,24,1334
TNX30,1311,21,1332
NHK40,1152,180,1332
DHB20,1208,119,1327
