"","CODE1","n_codes","n_patients"
"920","N72",15,15
"921","R88",15,15
"922","S53",15,14
"923","W49",15,15
"924","A20",14,14
"925","B26",14,12
"926","R63",14,13
"927","X45",14,14
"928","A86",13,12
"929","D36",13,12
"930","D38",13,13
"931","F69",13,12
"932","P61",13,10
"933","R91",13,11
"934","U31",13,10
"935","U43",13,10
"936","W43",13,13
"937","X61",13,11
"938","X62",13,12
"939","X63",13,10
"940","A33",12,11
"941","D59",12,10
"942","D69",12,11
"943","F18",12,12
"944","S89",12,10
"945","W35",12,12
"946","W46",12,6
"947","W58",12,8
"948","W67",12,12
"949","W93",12,7
"950","X59",12,12
"951","X89",12,12
"952","D61",11,11
"953","F82",11,8
"954","H59",11,11
"955","H86",11,9
"956","K72",11,9
"957","W80",11,11
"958","A52",10,10
"959","B49",10,6
"960","B69",10,10
"961","K55",10,6
"962","K68",10,10
"963","L38",10,10
"964","L61",10,9
"965","P68",10,10
"966","R64",10,9
"967","T35",10,9
"968","T58",10,9
"969","X38",10,9
"970","Y71",10,7
"971","F59",9,9
"972","H45",9,9
"973","R49",9,9
"974","R71",9,9
"975","T68",9,9
"976","A93",8,8
"977","B71",8,8
"978","H30",8,8
"979","H83",8,6
"980","N62",8,8
"981","S38",8,8
"982","S65",8,8
"983","T59",8,8
"984","W71",8,7
"985","B30",7,7
"986","F54",7,6
"987","K54",7,6
"988","K57",7,6
"989","K65",7,6
"990","L58",7,7
"991","P34",7,6
"992","S37",7,7
"993","T64",7,6
"994","W21",7,6
"995","W77",7,6
"996","X69",7,7
"997","X73",7,7
"998","A14",6,6
"999","B68",6,6
"1000","B85",6,6
"1001","F95",6,6
"1002","H60",6,6
"1003","K35",6,6
"1004","K58",6,6
"1005","L66",6,6
"1006","N26",6,6
"1007","N69",6,6
"1008","P21",6,6
"1009","T78",6,6
"1010","U56",6,6
"1011","W38",6,6
