CodeId;Abbreviation;ShortName;LongName;ParentId;HierarchyLevel;BeginningDate;ExpiringDate;LastModifiedDate;LastModifiedBy;Status;Description;OID;CreatedDate;A:Alakomponentti (icpc);ALONG:Anm.;ALONG:Ensisijainen ICD-10;ALONG:Exkluderar;A:Harkitse (icpc);ALONG:Huom.;ALONG:ICD-10;ALONG:Inkluderar;A:Komponent (icpc);A:Komponentti (icpc);ALONG:Kriteerit (icpc);ALONG:Kriterier (icpc);A:Lehtisolmu;A:Långt_namn;ALONG:Mukaan lukien;ALONG:Pois lukien;A:Subkomponent (icpc);A:Sukupuoli;A:Överväg (icpc);ALONG:Consider_EN;ALONG:Criteria_EN;ALONG:Exclusion_EN;ALONG:Inclusion_EN;A:Long_name;A:Päivystysapu116117
A37;Yleiset ja epämääräiset, Histol./sytol. tutk.;Yleiset ja epämääräiset, Histol./sytol. tutk.;Yleiset ja epämääräiset, Histologinen/sytologinen tutkimus;A;1;01.01.2000;31.12.2030;23.07.2014;Lehtonen, Santeri;1;;1.2.246.537.6.31.2007.1414;04.02.2008;;;;;;;;;2 Diagnostiska och preventiva åtgärder;2 Diagnostiset ja ennaltaehkäisevät toimenpiteet;;;T;Generella och ospecifika, Histologiskt / cytologiskt prov;;;;;;;;;;;
A38;Yleiset ja epämääräiset, Muu lab.tutkimus;Yleiset ja epämääräiset, Muu lab.tutkimus;Yleiset ja epämääräiset, Muu laboratoriotutkimus;A;1;01.01.2000;31.12.2030;23.07.2014;Lehtonen, Santeri;1;;1.2.246.537.6.31.2007.1415;04.02.2008;;;;;;;;;2 Diagnostiska och preventiva åtgärder;2 Diagnostiset ja ennaltaehkäisevät toimenpiteet;;;T;Generella och ospecifika, Annat laboratorieprov UNS;;;;;;;;;;;
A39;Yleiset ja epämääräiset, Kliin. toimintakoe;Yleiset ja epämääräiset, Kliin. toimintakoe;Yleiset ja epämääräiset, Kliininen toimintakoe;A;1;01.01.2000;31.12.2030;23.07.2014;Lehtonen, Santeri;1;;1.2.246.537.6.31.2007.1416;04.02.2008;;;;;;;;;2 Diagnostiska och preventiva åtgärder;2 Diagnostiset ja ennaltaehkäisevät toimenpiteet;;;T;Generella och ospecifika, Kliniskt funktionstest;;;;;;;;;;;
A40;Yleiset ja epämääräiset, Diagn. endoskopia;Yleiset ja epämääräiset, Diagn. endoskopia;Yleiset ja epämääräiset, Diagnostinen endoskopia;A;1;01.01.2000;31.12.2030;23.07.2014;Lehtonen, Santeri;1;;1.2.246.537.6.31.2007.1417;04.02.2008;;;;;;;;;2 Diagnostiska och preventiva åtgärder;2 Diagnostiset ja ennaltaehkäisevät toimenpiteet;;;T;Generella och ospecifika, Diagnostisk endoskopi;;;;;;;;;;;
A41;Yleiset ja epämääräiset, Diagn. kuvantaminen;Yleiset ja epämääräiset, Diagn. kuvantaminen;Yleiset ja epämääräiset, Diagnostinen kuvantaminen;A;1;01.01.2000;31.12.2030;23.07.2014;Lehtonen, Santeri;1;;1.2.246.537.6.31.2007.1418;04.02.2008;;;;;;;;;2 Diagnostiska och preventiva åtgärder;2 Diagnostiset ja ennaltaehkäisevät toimenpiteet;;;T;Generella och ospecifika, Radiologisk diagnostik eller annan bilddiagnostik;;;;;;;;;;;
A42;Yleiset ja epämääräiset, Elektrofys. tutk.;Yleiset ja epämääräiset, Elektrofys. tutk.;Yleiset ja epämääräiset, Elektrofysiologinen tutkimus;A;1;01.01.2000;31.12.2030;23.07.2014;Lehtonen, Santeri;1;;1.2.246.537.6.31.2007.1419;04.02.2008;;;;;;;;;2 Diagnostiska och preventiva åtgärder;2 Diagnostiset ja ennaltaehkäisevät toimenpiteet;;;T;Generella och ospecifika, Elektrofysiologisk undersökning;;;;;;;;;;;
A43;Yleiset ja epämääräiset, Muu tutkimus;Yleiset ja epämääräiset, Muu tutkimus;Yleiset ja epämääräiset, Muu tutkimustoimenpide;A;1;01.01.2000;31.12.2030;23.07.2014;Lehtonen, Santeri;1;;1.2.246.537.6.31.2007.1420;04.02.2008;;;;;;;;;2 Diagnostiska och preventiva åtgärder;2 Diagnostiset ja ennaltaehkäisevät toimenpiteet;;;T;Generella och ospecifika, Annan diagnostisk åtgärd;;;;;;;;;;;
A44;Yleiset ja epämääräiset, Rokotus / enn.ehk.lääk.;Yleiset ja epämääräiset, Rokotus / enn.ehk.lääk.;Yleiset ja epämääräiset, Rokotus / ennaltaehkäisevä lääkitys;A;1;01.01.2000;31.12.2030;23.07.2014;Lehtonen, Santeri;1;;1.2.246.537.6.31.2007.1421;04.02.2008;;;;;;;;;2 Diagnostiska och preventiva åtgärder;2 Diagnostiset ja ennaltaehkäisevät toimenpiteet;;;T;Generella och ospecifika, Preventiv immunisering / medicinering;;;;;;;;;;;
A45;Yleiset ja epämääräiset, Seuranta/neuvonta;Yleiset ja epämääräiset, Seuranta/neuvonta;Yleiset ja epämääräiset, Seuranta/terveysneuvonta/ruokavalioneuvonta;A;1;01.01.2000;31.12.2030;23.07.2014;Lehtonen, Santeri;1;;1.2.246.537.6.31.2007.1422;04.02.2008;;;;;;;;;2 Diagnostiska och preventiva åtgärder;2 Diagnostiset ja ennaltaehkäisevät toimenpiteet;;;T;Generella och ospecifika, Observation / hälsofostran / rådgivning / dietrådgivning;;;;;;;;;;;
A46;Yleiset ja epämääräiset, Pth konsultaatio;Yleiset ja epämääräiset, Pth konsultaatio;Yleiset ja epämääräiset, Perusterveydenhuollon asiantuntijan konsultaatio;A;1;01.01.2000;31.12.2030;23.07.2014;Lehtonen, Santeri;1;;1.2.246.537.6.31.2007.1423;04.02.2008;;;;;;;;;2 Diagnostiska och preventiva åtgärder;2 Diagnostiset ja ennaltaehkäisevät toimenpiteet;;;T;Generella och ospecifika, Konsultation med person yrkesverksam inom primärvården;;;;;;;;;;;
